text,label
"使用移动手动电动工具,外接线绝缘皮破损,应停止使用.[SEP]工业/危化品类[SEP]电气安全[SEP]移动用电产品、电动工具及照明[SEP]移动使用的用电产品和I类电动工具的绝缘线，必须采用三芯(单相)或四芯(三相)多股铜芯橡套软线。",0
一般[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,1
消防知识要加强[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]重点工种人员以及其他员工消防知识的掌握情况；,0
消防通道有货物摆放 清理不及时[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
防火门打开状态[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用；,0
防爆柜里面稀释剂，机油费混装[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]易燃易爆危险物品和场所防火防爆措施的落实情况以及其他重要物资的防火安全情况；,0
已经整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
逃生通道有货物阻挡。[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]安全疏散通道、疏散指示标志、应急照明和安全出口情况；,1
"通道黄色线标脱落，已及时重新标好线标。[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",0
气压不够，已更换[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,0
通道有堆放货物[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
灭火器没检查，已检查，已整改[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]防火巡查情况；,0
三楼车间天花板脱落，找人维修[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]用火、用电有无违章情况；,0
车间一推台锯未安装防护罩[SEP]工业/危化品类[SEP]机械设备安全防护[SEP]危险机械设备[SEP]冲、剪、压机械、木工机械、砂轮机、注塑机械、压痕机、粉碎机、抛光机等危险设备的安全防护装置完好齐全。,0
