,text,label
8510,生产部门检查[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]其他需要检查的内容。　　防火检查需填写检查记录。检查人员和被检查部门负责人在检查记录上签名。,1
11188,常闭式防火门开启[SEP]交通运输类[SEP]消防安全[SEP]防火巡查[SEP]常闭式防火门是否处于关闭状态，防火卷帘下是否堆放物品影响使用。,0
7955,车间压滤机未设置末端漏电保护开关[SEP]商贸服务教文卫类[SEP]电气安全[SEP]漏电保护[SEP]低压配电线路应根据具体情况采用二级或三级保护，在总电源端、分支线首端或线路末端安装漏电保护装置。,0
9451,疏散通道被堵：住院6.7楼、体检2楼、[SEP]商贸服务教文卫类[SEP]消防检查[SEP]防火巡查[SEP]其他消防安全情况。,0
11287,灭火器被挡[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]消防设施、器材和消防安全标志是否在位、完整；,0
9764,没有定期进行应急演练，有演练记录。[SEP]纯办公场所[SEP]基础管理[SEP]应急管理[SEP]定期进行应急演练，有演练记录。,0
3603,"已整改[SEP]工业/危化品类[SEP]作业环境[SEP]作业通道[SEP]作业通道应保持畅通，禁止临时堆放货物；通道以黄色或者白色线标明。凡有地坑、壕、池的地方,应设置盖板或护栏。",1
2241,通道[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,1
10849,配电房内电缆线应放置在电缆沟内[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电房内电缆线应放置在电缆沟内，并应加设盖板。配电柜前后面应放置绝缘垫，其绝缘垫的长度应大于配电柜的宽度。,1
2976,没有记录[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]防火巡查情况；,1
6961,二楼车间插座面板脱落[SEP]工业/危化品类[SEP]电气安全[SEP]电气线路及电源插头插座[SEP]插拔插头时，应保证电气设备和电气装置处于非工作状态，同时人体不得接触及插头的导电极，并避免对电源线施加外力。,0
4797,定期落实消防发全培训及演练[SEP]工业/危化品类[SEP]应急管理[SEP]应急演练[SEP]定期组织应急演练。,1
2514,1、建立并保存事故隐患排查治理档案。[SEP]工业/危化品类[SEP]安全管理档案[SEP]隐患排查记录[SEP]建立并保存事故隐患排查治理档案。,1
2494,检查人员漏记录[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]其他需要检查的内容。　　防火检查需填写检查记录。检查人员和被检查部门负责人在检查记录上签名。,0
9891,已整改[SEP]三小场所[SEP]基础管理[SEP]安全培训[SEP]主要负责人及从业人员有安全培训记录。,1
1382,灭火器[SEP]工业/危化品类[SEP]消防检查[SEP]防火检查[SEP]灭火器材配置及有效情况；,1
11256,良好[SEP]工业/危化品类[SEP]电气安全[SEP]移动用电产品、电动工具及照明[SEP]设备设施的局部照明和移动照明工作灯使用安全电压，潮湿狭窄场所、金属容器内照明使用特低电压。,1
3323,电箱整改中[SEP]商贸服务教文卫类[SEP]电气安全[SEP]配电房[SEP]配电房内电缆线应放置在电缆沟内，并应加设盖板。配电柜前后面应放置绝缘垫，其绝缘垫的长度应大于配电柜的宽度。,1
8391,安全应急灯损坏[SEP]工业/危化品类[SEP]消防检查[SEP]防火巡查[SEP]安全出口、疏散通道是否畅通，安全疏散指示标志、应急照明是否完好；,0
